symbol,price,volume,market_cap,whale_movements,exchange_flow,active_addresses,tx_count,hash_rate,tvl,nvt,mvrv,sentiment
BANANAS31,0.0034,2443422586.0,8415147.3862,242,300151029067.0,0,0,120000000,0,0.0034,0.0034,0.4926
BAND,0.383,1002727.0,384044.441,2259,4266678176.643,0,0,120000000,0,0.383,0.383,0.4926
BANK,0.0442,47121326.7,2082762.6401,11,2150341880.4,0,0,120000000,0,0.0442,0.0442,0.4926
BAR,0.57,398758.84,227292.5388,1678,971050582.558,0,0,120000000,0,0.57,0.57,0.4926
BARD,0.7145,767359.6,548278.4342,67,2114487462.3,0,0,120000000,0,0.7145,0.7145,0.4926
BAT,0.1925,19687271.0,3789799.6675,2457,39872604298.65,0,0,120000000,0,0.1925,0.1925,0.4926
BB,0.0716,10964947.2,785090.2195,560,24974791507.6,0,0,120000000,0,0.0716,0.0716,0.4926
BCH,545.4,50301.875,27434642.625,2188,283003793.71,0,0,120000000,0,545.4,545.4,0.4926
BEAM,0.0652,22088815.0,1440190.738,1224,6936048462.67,191744025.0,76818,120000000,6344037,0.0652,0.0652,0.4926
BEL,0.1584,3295728.6,522043.4102,1896,12132700145.64,0,0,120000000,0,0.1584,0.1584,0.4926
BERA,1.03,1444032.418,1487353.3905,291,1538175619.468,0,0,120000000,0,1.03,1.03,0.4926
BETA,0.0004,270706254.0,97454.2514,1287,60284693597.0,1000000000.0,483.82,120000000,83103,0.0004,0.0004,0.4926
BICO,0.0637,46841423.41,2983798.6712,1446,11688096387.05,0,0,120000000,0,0.0637,0.0637,0.4926
BIFI,114.8,1143.747,131302.1556,713,2633144.017,605572599.6647413,16060.85,120000000,511568,114.8,114.8,0.4926
BIGTIME,0.023,15827139.0,364340.7398,227,8074696471.0,0,0,120000000,0,0.023,0.023,0.4926
BIO,0.0613,27547451.9,1688658.8015,325,40880378882.8,0,0,120000000,0,0.0613,0.0613,0.4926
BLUR,0.0387,8511917.3,329070.7228,731,24718113375.0,2642963441.210045,7679340,120000000,89623885,0.0387,0.0387,0.4926
BLZ,0.0582,50060194.0,2913503.2908,1598,68302751645.5,0,0,120000000,0,0.0582,0.0582,0.4926
BMT,0.0292,13446902.1,392649.5413,251,15228838084.5,0,0,120000000,0,0.0292,0.0292,0.4926
BNB,850.39,129680.627,110279108.3945,2940,4466700581.459,0,0,120000000,0,850.39,850.39,0.4926
BNT,0.4359,157916.7,68835.8895,2118,5006418941.48,0,0,120000000,0,0.4359,0.4359,0.4926
BOME,0.0007,1303389596.0,903248.99,618,5021488273201.0,0,0,120000000,0,0.0007,0.0007,0.4926
BOND,2.152,1447110.17,3114181.0858,1114,1187309583.17,0,0,120000000,0,2.152,2.152,0.4926
BONK,0.0,665246365845.0,6047089.4655,710,2066683165435106.0,82757685978268.56,83624669,120000000,775034812,0.0,0.0,0.4926
BSW,0.0112,65448938.3,733028.109,1202,56410318649.5,0,0,120000000,0,0.0112,0.0112,0.4926
BTC,87280.59,13302.7777,1161074288.0405,2977,190570595.5577,0,0,120000000,0,87280.59,87280.59,0.4926
BTCST,5.35,86533.2,462952.62,682,323024359.493,0,0,120000000,0,5.35,5.35,0.4926
BTCUSDT,90057.86,15.9445,1435931.1511,20,80941.9213,0,0,120000000,0,90057.86,90057.86,0.4926
BTG,17.65,53537.48,944936.522,557,26635775.017,0,0,120000000,0,17.65,17.65,0.4926
BTS,0.0054,32395584.5,174936.1563,1401,114787937972.7,0,0,120000000,0,0.0054,0.0054,0.4926
BTT,0.0028,3702123193.0,10280796.107,1083,21449800417163.0,0,0,120000000,0,0.0028,0.0028,0.4926
BULL,1370.28,4847.1214,6641913.5805,24,438337.3709,0,0,120000000,0,1370.28,1370.28,0.4926
BURGER,0.0172,16672604.4,286768.7957,1429,9555711439.9,0,0,120000000,0,0.0172,0.0172,0.4926
BUSD,1.0003,2222384.0,2223050.7152,1548,736912602655.72,0,0,120000000,0,1.0003,1.0003,0.4926
C,0.0817,7118744.6,581601.4338,129,5363901474.0,0,0,120000000,0,0.0817,0.0817,0.4926
C98,0.0277,15377327.5,425951.9717,1585,40671464658.7,0,0,120000000,0,0.0277,0.0277,0.4926
CAKE,2.28,4120312.59,9394312.7052,1739,10407084392.721,0,0,120000000,0,2.28,2.28,0.4926
CATI,0.0615,2931815.4,180306.6471,430,13666702373.9,0,0,120000000,0,0.0615,0.0615,0.4926
CELO,0.1605,10299804.3,1653118.5902,1784,13798780211.9,589481382.0,8433371,120000000,89004978,0.1605,0.1605,0.4926
CELR,0.0045,37984265.4,171005.1628,2436,542187427489.9,0,0,120000000,0,0.0045,0.0045,0.4926
CETUS,0.0302,15666758.1,473136.0946,383,16938462657.1,0,0,120000000,0,0.0302,0.0302,0.4926
CFX,0.0811,23148018.0,1877304.2598,1701,146795340869.685,0,0,120000000,0,0.0811,0.0811,0.4926
CGPT,0.0394,9184266.8,361860.1119,318,10080452874.3,0,0,120000000,0,0.0394,0.0394,0.4926
CHESS,0.041,13446724.3,550777.8273,1494,18819090318.1,0,0,120000000,0,0.041,0.041,0.4926
CHR,0.0585,6175172.0,361247.562,2027,94046723510.1,0,0,120000000,0,0.0585,0.0585,0.4926
CHZ,0.0282,22780992.0,642423.9744,2271,465579814519.8,0,0,120000000,0,0.0282,0.0282,0.4926
CITY,0.586,497195.8,291356.7388,1475,872004229.83,0,0,120000000,0,0.586,0.586,0.4926
CKB,0.0025,247361826.0,627804.3144,1763,1333606631141.0,0,0,120000000,0,0.0025,0.0025,0.4926
CLV,0.0294,28255141.6,829853.5088,1307,54807305576.1,0,0,120000000,0,0.0294,0.0294,0.4926
COMBO,0.0276,15562596.8,429527.6717,666,3265539701.2,0,0,120000000,0,0.0276,0.0276,0.4926
COMP,28.87,12945.869,373747.238,1978,201806926.7441,0,0,120000000,0,28.87,28.87,0.4926
COOKIE,0.0499,11027127.9,550253.6822,318,10655027155.9,635511333.1146867,5903804,120000000,32050774,0.0499,0.0499,0.4926
COS,0.0015,204253245.6,312711.719,2305,703399750001.6,0,0,120000000,0,0.0015,0.0015,0.4926
COTI,0.0283,26842188.0,758828.6548,2098,124849604086.0,2534310735.67215,5997883,120000000,60426180,0.0283,0.0283,0.4926
COW,0.1673,3146484.9,526406.9238,383,8531715396.1,0,0,120000000,0,0.1673,0.1673,0.4926
CREAM,2.1,244215.696,512852.9616,573,95306275.57,0,0,120000000,0,2.1,2.1,0.4926
CRV,0.3892,13509929.6,5258064.6003,1927,62803290732.663,0,0,120000000,0,0.3892,0.3892,0.4926
CTK,0.251,1524674.6,382693.3246,1854,7115897390.36,0,0,120000000,0,0.251,0.251,0.4926
CTSI,0.0455,87470141.0,3979891.4155,2041,48331183235.0,0,0,120000000,0,0.0455,0.0455,0.4926
CTXC,0.0634,2302689.0,145990.4826,1973,32900623470.74,0,0,120000000,0,0.0634,0.0634,0.4926
CVC,0.047,9849977.0,462948.919,2128,44006230950.2,0,0,120000000,0,0.047,0.047,0.4926
CVP,0.0339,18520019.9,627828.6746,1058,5264716260.1,0,0,120000000,0,0.0339,0.0339,0.4926
CVX,1.697,174708.713,296480.686,1432,989274448.012,0,0,120000000,0,1.697,1.697,0.4926
CYBER,0.786,1138987.14,895243.892,832,1920944754.41,0,0,120000000,0,0.786,0.786,0.4926
D,0.0166,180897796.0,3001094.4356,319,14287836820.0,0,0,120000000,0,0.0166,0.0166,0.4926
DAI,1.0189,747400.22,761526.0842,21,36055985.94,4322275971.817828,36361151,120000000,4320311581,1.0189,1.0189,0.4926
DASH,59.88,402361.047,24093379.4944,2433,322980168.441,12513569.50815346,94616489,120000000,565147086,59.88,59.88,0.4926
DATA,0.0071,66516407.6,470271.0017,2057,103878641075.8,0,0,120000000,0,0.0071,0.0071,0.4926
DCR,25.37,162957.834,4134240.2486,1943,81278549.7408,0,0,120000000,0,25.37,25.37,0.4926
DEGO,0.598,1092335.65,653216.7187,1720,2755794814.705,0,0,120000000,0,0.598,0.598,0.4926
DENT,0.0003,730679541.0,247700.3644,2281,7431797339302.0,95654960452.73587,4118258,120000000,23418740,0.0003,0.0003,0.4926
DEXE,4.468,117739.74,526061.1583,1585,599560660.72,46673279.548809506,2109655,120000000,167422538,4.468,4.468,0.4926
DF,0.0149,12788791.0,190680.8738,1522,55423953323.0,0,0,120000000,0,0.0149,0.0149,0.4926
DGB,0.0068,71348740.6,486598.4109,1953,320904509253.8,0,0,120000000,0,0.0068,0.0068,0.4926
DIA,0.3564,572972.5,204207.399,1907,7279013361.566,0,0,120000000,0,0.3564,0.3564,0.4926
DNT,0.036,143600233.0,5169608.388,714,25212355652.9,0,0,120000000,0,0.036,0.036,0.4926
DODO,0.0237,7267463.2,172238.8778,1739,36689775365.28,1000000000.0,3524534,120000000,20473581,0.0237,0.0237,0.4926
DOGE,0.147,638751070.0,93877244.7579,2334,4219863692497.4,999314470.866776,129.66,120000000,74382,0.147,0.147,0.4926
DOGS,0.0,11426289978.0,510755.162,455,19287824801157.0,0,0,120000000,0,0.0,0.0,0.4926
DOLO,0.0464,9787354.3,454133.2395,89,8070306450.3,0,0,120000000,0,0.0464,0.0464,0.4926
DOT,2.322,3194071.1,7416633.0942,1924,16531727280.619,0,0,120000000,0,2.322,2.322,0.4926
DUSK,0.0597,13611798.0,812624.3406,2317,45306199501.09,0,0,120000000,0,0.0597,0.0597,0.4926
DYDX,0.2364,10572093.12,2499242.8136,1537,16423538692.3,41656973.19652899,12101285,120000000,8182245,0.2364,0.2364,0.4926
DYM,0.1189,209363381.8,24893306.096,657,5267782647.1,0,0,120000000,0,0.1189,0.1189,0.4926
EDEN,0.0795,10568076.8,840162.1056,55,7238897533.0,159339211.6649791,52.81,120000000,1624646,0.0795,0.0795,0.4926
EDU,0.1463,7897677.0,1155430.1451,941,13665072499.0,0,0,120000000,0,0.1463,0.1463,0.4926
EGLD,7.55,43947.16,331801.058,1908,513213491.6319,0,0,120000000,0,7.55,7.55,0.4926
EIGEN,0.557,8424672.66,4692542.6716,419,5745340755.73,0,0,120000000,0,0.557,0.557,0.4926
ELF,0.2272,1723425.7,391562.319,1317,10974310697.6,0,0,120000000,0,0.2272,0.2272,0.4926
ENA,0.2394,62562282.19,14977410.3563,601,108064997610.4,0,0,120000000,0,0.2394,0.2394,0.4926
ENJ,0.0333,8076506.7,269270.7334,2412,47466040404.46,0,0,120000000,0,0.0333,0.0333,0.4926
ENS,11.17,91884.2,1026346.514,1475,1408137334.47,0,0,120000000,0,11.17,11.17,0.4926
ENSO,0.786,2663459.37,2093479.0648,41,832872521.9,20590000.0,16202336,120000000,14156015,0.786,0.786,0.4926
EPIC,0.567,1218576.2,690932.7054,256,638366257.3,0,0,120000000,0,0.567,0.567,0.4926
EPS,0.1679,13665860.0,2294497.894,403,13874968414.888,0,0,120000000,0,0.1679,0.1679,0.4926
EPX,0.0,26841134578.0,520718.0108,827,6222970200870.0,0,0,120000000,0,0.0,0.0,0.4926
ERA,0.2671,15615702.4,4170954.111,130,5002333396.9,0,0,120000000,0,0.2671,0.2671,0.4926
ETC,13.73,319380.25,4385090.8325,2722,4784441942.68,0,0,120000000,0,13.73,13.73,0.4926
ETH,2828.73,307432.7144,869644142.2047,3021,1608445395.9974,0,0,120000000,0,2828.73,2828.73,0.4926
ETHFI,0.695,6928199.8,4815098.861,616,12530375293.0,0,0,120000000,0,0.695,0.695,0.4926
ETHUSDT,3065.67,457.8078,1403487.6382,99,2198912.0161,0,0,120000000,0,3065.67,3065.67,0.4926
EUL,3.821,352915.02,1348488.2914,42,132771186.68,0,0,120000000,0,3.821,3.821,0.4926
EURI,1.1491,913359.8,1049541.7462,453,1916889918.6,0,0,120000000,0,1.1491,1.1491,0.4926
F,0.009,310711704.0,2787083.9849,30,40232028907.0,0,0,120000000,0,0.009,0.009,0.4926
FARM,20.17,10786.04,217554.4268,1566,61328217.953,999819276.712523,21.58,120000000,22623,20.17,20.17,0.4926
FDUSD,0.9972,198125926.0,197571173.4072,852,458214302907.0,0,0,120000000,0,0.9972,0.9972,0.4926
FET,0.2905,43861641.2,12741806.7686,2461,124026656889.31,0,0,120000000,0,0.2905,0.2905,0.4926
FF,0.1262,18742616.0,2364755.8607,56,44346638340.5,0,0,120000000,0,0.1262,0.1262,0.7734
FIDA,0.0453,8803748.2,398809.7935,1516,31530418413.9,0,0,120000000,0,0.0453,0.0453,0.4926
FIL,1.639,5995130.39,9826018.7092,1866,12072525252.9657,0,0,120000000,0,1.639,1.639,0.4926
FIO,0.0099,99083761.0,983901.7467,1907,81313499983.52,0,0,120000000,0,0.0099,0.0099,0.4926
FIRO,0.3,469825.8,140947.74,1539,1177464840.479,0,0,120000000,0,0.3,0.3,0.4926
FIS,0.049,10122832.0,496018.768,1727,12729134834.947,0,0,120000000,0,0.049,0.049,0.4926
FLM,0.0167,18425439.0,307704.8313,1872,73825513875.14,0,0,120000000,0,0.0167,0.0167,0.4926
FLOKI,0.0,64295708532.0,2994251.1463,934,337647482909510.0,9657252718354.0,31409611,120000000,452710118,0.0,0.0,0.4926
FLOW,0.238,1721553.4,409729.7092,1578,9778960058.17,1628083999.54686,6932460,120000000,320769545,0.238,0.238,0.4926
FLUX,0.1167,4157110.09,485134.7475,1445,7278781249.14,4939591.060276872,1.65,120000000,126599,0.1167,0.1167,0.4926
FOR,0.0031,137019355.0,419279.2263,1103,98557165072.0,0,0,120000000,0,0.0031,0.0031,0.4926
FORM,0.3796,8699923.0,3302490.7708,250,2896981729.2,0,0,120000000,0,0.3796,0.3796,0.4926
FORTH,1.799,54136.75,97392.0133,1676,858426977.795,0,0,120000000,0,1.799,1.799,0.4926
FRONT,0.88,825187.7,726165.176,1059,10345608273.4,0,0,120000000,0,0.88,0.88,0.4926
FTT,0.615,594837.76,365825.2224,1856,6244744563.171,0,0,120000000,0,0.615,0.615,0.4926
FUN,0.0019,218195201.0,417189.2243,2281,757993777154.0,991288979.054517,306806,120000000,565144,0.0019,0.0019,0.8034
G,0.0052,20080645.0,104820.9669,493,50294681584.0,0,0,120000000,0,0.0052,0.0052,0.4926
GAL,2.542,332243.971,844564.1743,803,3008295769.353,0,0,120000000,0,2.542,2.542,0.4926
GALA,0.0076,346301766.0,2618041.351,1533,1529744521287.0,46828206593.17435,30046177,120000000,335650186,0.0076,0.0076,0.4926
GAS,2.136,66886.2,142868.9232,983,1137267617.6,65093580.54427269,5127314,120000000,135197739,2.136,2.136,0.4926
GFT,0.002,1906210941.0,3736173.4444,439,123951668544.0,0,0,120000000,0,0.002,0.002,0.4926
GHST,0.258,1054823.2,272144.3856,1557,2377179192.0,0,0,120000000,0,0.258,0.258,0.4926
GIGGLE,107.21,328467.014,35214948.5709,30,27744983.229,0,0,120000000,0,107.21,107.21,0.7734
GLM,0.1974,2382679.3,470340.8938,983,9744914230.1,0,0,120000000,0,0.1974,0.1974,0.4926
GLMR,0.0281,9907863.4,278410.9615,1413,17791708329.8,0,0,120000000,0,0.0281,0.0281,0.4926
GMT,0.0191,19662968.7,375169.4428,1356,138137138642.6,0,0,120000000,0,0.0191,0.0191,0.4926
GMX,8.5,46821.942,397986.507,1146,174599733.602,10358228.97226057,6032559,120000000,88436166,8.5,8.5,0.4926
GNO,129.44,1250.638,161882.5827,1213,5067837.842,0,0,120000000,0,129.44,129.44,0.4926
GNS,1.4,64029.83,89641.762,1011,428799586.52,0,0,120000000,0,1.4,1.4,0.4926
GPS,0.0066,605154168.9,4000069.0564,265,55093571601.3,0,0,120000000,0,0.0066,0.0066,0.4926
GRT,0.0502,20817562.0,1044208.9099,1803,146974618179.17,0,0,120000000,0,0.0502,0.0502,0.4926
GTC,0.157,724984.6,113822.5822,1628,3987254162.16,0,0,120000000,0,0.157,0.157,0.4926
GUN,0.0126,17755828.0,224078.5494,238,47498879204.0,0,0,120000000,0,0.0126,0.0126,-0.1343
HAEDAL,0.0599,3883147.2,232600.5173,187,5945412348.3,195000000.0,4899430,120000000,9090354,0.0599,0.0599,0.4926
HARD,0.0095,11643042.0,110608.899,1623,20458012980.66,0,0,120000000,0,0.0095,0.0095,0.2638
HBAR,0.1458,187569257.0,27349473.3632,2248,373993791162.5,0,0,120000000,0,0.1458,0.1458,0.4926
HEI,0.2113,2097713.5,443246.8625,284,2430154239.3,0,0,120000000,0,0.2113,0.2113,0.4926
HEMI,0.0194,86679773.9,1681587.6137,62,21378286979.5,977500000.0,5951100,120000000,14458271,0.0194,0.0194,0.4926
HFT,0.0385,79314336.9,3053601.9707,1113,25755742408.5,0,0,120000000,0,0.0385,0.0385,0.4926
HIFI,0.127,17826477.1,2263962.5917,980,14844207328.6,0,0,120000000,0,0.127,0.127,0.4926
HIGH,0.247,39596818.77,9780414.2362,1438,5359193860.334,0,0,120000000,0,0.247,0.247,0.4926
HIVE,0.1034,3883421.0,401545.7314,2037,16296451822.39,504915719.365,997901,120000000,51604703,0.1034,0.1034,0.4926
HMSTR,0.0003,1176018850.0,298708.7879,424,1502225310751.0,0,0,120000000,0,0.0003,0.0003,0.4926
HNT,4.67,77258.1,360795.327,751,680539824.124,0,0,120000000,0,4.67,4.67,0.4926
HOLO,0.0963,33545919.2,3230472.019,74,6322967942.1,997887720.482454,53.63,120000000,17346.51,0.0963,0.0963,0.4926
HOME,0.022,28194856.0,621132.6777,165,21479327599.0,3178055555.57,11052440,120000000,71633003,0.022,0.022,0.4926
HOOK,0.0478,21951331.6,1049273.6505,1089,13558591300.8,0,0,120000000,0,0.0478,0.0478,0.4926
HOT,0.0006,1484113931.0,834072.0292,2471,6984055360667.0,0,0,120000000,0,0.0006,0.0006,0.4926
HUMA,0.0256,105489467.0,2699475.4605,182,51019121304.0,0,0,120000000,0,0.0256,0.0256,0.4926
HYPER,0.1361,8385709.7,1141295.0902,216,7137967037.0,0,0,120000000,0,0.1361,0.1361,0.4926
ICP,4.094,4362196.67,17858833.167,1658,4503340174.19,0,0,120000000,0,4.094,4.094,0.4926
ICX,0.0666,13100405.2,872486.9863,2721,28183334899.55,0,0,120000000,0,0.0666,0.0666,0.4926
ID,0.0792,4591749.0,363666.5208,978,27033418355.0,0,0,120000000,0,0.0792,0.0792,0.4926
IDEX,0.0132,39322412.6,517482.9498,1537,92305224736.6,0,0,120000000,0,0.0132,0.0132,0.4926
ILV,7.28,197393.557,1437025.095,1522,103287719.44,0,0,120000000,0,7.28,7.28,0.4926
IMX,0.313,2859281.16,894955.0031,1414,11069026389.33,0,0,120000000,0,0.313,0.313,0.4926
INIT,0.1074,17799741.3,1911692.2156,214,6034835383.0,0,0,120000000,0,0.1074,0.1074,0.4926
INJ,5.49,556445.56,3054886.1244,1860,3741734553.874,0,0,120000000,0,5.49,5.49,0.4926
IO,0.231,4453127.13,1028672.367,531,6501497675.18,253041465.6273963,24362047,120000000,44109914,0.231,0.231,0.4926
IOST,0.0017,130560116.0,224302.2793,2439,1402195864205.0,0,0,120000000,0,0.0017,0.0017,0.4926
IOTA,0.1167,7448028.0,869184.8676,2734,55653727334.55,4188791980.0,6885294,120000000,422935094,0.1167,0.1167,0.4926
IOTX,0.0095,136948255.0,1302377.905,2202,419733856593.0,0,0,120000000,0,0.0095,0.0095,0.4926
IQ,0.0018,291338410.0,527031.1837,794,314610395984.0,0,0,120000000,0,0.0018,0.0018,0.4926
IRIS,0.0052,118652016.0,618177.0034,1583,104278062754.0,0,0,120000000,0,0.0052,0.0052,0.4926
JASMY,0.0074,162309492.5,1196220.9597,1463,2307428709921.8,0,0,120000000,0,0.0074,0.0074,0.4926
JOE,0.075,2911903.9,218392.7925,1427,12535247406.55,402434291.8907347,2806863,120000000,28470910,0.075,0.075,0.4926
JST,0.0376,22323269.3,840024.6238,1931,267370239025.1,0,0,120000000,0,0.0376,0.0376,0.4926
JTO,0.469,2760839.0,1294833.491,718,6087519760.4,0,0,120000000,0,0.469,0.469,0.4926
JUP,0.2378,9132993.8,2171825.9256,663,25418359891.8,0,0,120000000,0,0.2378,0.2378,0.4926
JUV,0.677,929218.65,629081.0261,1799,1466919662.011,0,0,120000000,0,0.677,0.677,0.4926
KAIA,0.0802,12371666.7,992207.6693,389,18669068074.5,5856641747.106198,8009896,120000000,439833353,0.0802,0.0802,0.4926
KAITO,0.6776,3812536.8,2583374.9357,277,4304624842.5,241388889.0,9764976,120000000,147197089,0.6776,0.6776,0.4926
KAVA,0.1165,3204778.9,373356.7418,2222,16600623005.78,1082847663.0,3966554,120000000,102884032,0.1165,0.1165,0.4926
